  data,   abre,fecho, min,hmin, max,  hmax
12/ago/22,29.10,31.67,29.08,10:10,31.83,16:38
15/ago/22,30.88,31.60,30.55,12:20,32.23,13:30
16/ago/22,31.72,32.01,31.50,10:02,32.07,16:38
17/ago/22,31.65,32.72,31.60,10:05,32.82,17:28
18/ago/22,33.10,33.42,32.87,11:33,33.66,10:04
19/ago/22,32.92,31.74,31.33,16:40,33.15,10:38
22/ago/22,31.74,32.32,30.48,10:08,32.58,13:49
23/ago/22,32.63,33.44,32.62,10:05,33.50,17:48
24/ago/22,33.54,33.06,33.25,10:03,34.12,11:10
25/ago/22,34.10,32.72,32.67,12:26,34.36,10:10
26/ago/22,33.28,33.54,32.57,10:35,33.64,16:39
29/ago/22,33.55,34.37,33.45,10:03,35.08,14:15
30/ago/22,34.00,32.35,32.25,17:48,34.22,10:13
31/ago/22,32.07,33.26,31.82,10:13,33.44,15:13
01/set/22,33.36,33.87,32.76,11:09,33.95,15:35
02/set/22,34.44,33.38,33.26,16:44,34.57,10:12
05/set/22,33.85,33.23,33.15,12:36,34.11,10:10
06/set/22,32.27,32.12,31.51,11:04,32.59,10:14
08/set/22,32.31,31.89,31.40,13:34,32.78,10:57
09/set/22,32.49,31.76,31.70,16:40,32.67,10:13
12/set/22,32.15,31.55,31.46,16:53,32.73,10:10
13/set/22,30.94,30.61,30.52,16:45,31.44,10:08
14/set/22,30.75,31.14,30.63,10:01,31.43,10:45
15/set/22,30.92,31.02,30.80,11:59,31.23,11:45
16/set/22,30.86,30.78,30.34,11:43,30.95,11:18
19/set/22,30.50,31.37,29.88,10:04,31.38,17:58
20/set/22,31.42,31.00,30.84,15:43,31,60,10:55
21/set/22,31.35,31.20,29.88,15:18,31.47,10:31
22/set/22,31.48,31.91,31.03,11:27,32.08,16:46
23/set/22,31.32,29.84,29.77,16:00,31.39,10:13
26/set/22,29.72,29.33,29.21,14:42,30.08,11:17
27/set/22,29.90,29.63,29.51,10:45,30.20,12:06
28/set/22,29.67,29.21,28.58,11:25,29.82,10:04
29/set/22,28.99,29.32,28.60,11:16,29.40,16:33
30/set/22,29.22,29.83,29.00,10:40,30.49,14:10
